source_text,target_text
"['The', 'world', 'exploded', 'behind', 'me', '.']",The world exploded behind me.
"['Unnatural', 'and', 'unresponsive', 'approaches']",Unnatural and unresponsive approaches
"['Jon', 'traveled', 'back', 'to', 'his', 'hometown', '.']",Jon traveled back to his hometown.
"['Duke', 'says', 'we', 'can', 'use', 'the', 'environment', 'to', 'our', 'benefit', '.']",Duke says we can use the environment to our benefit.
"['Entirely', 'possible', '.']",Entirely possible.
"['Just', 'look', 'at', 'the', 'entertainment', 'industry', ""'s"", 'self', '-', 'image', 'instead', '.']",Just look at the entertainment industry's self-image instead.
"['On', 'Menorca', ',', 'search', 'for', 'more', 'elusive', 'prehistoric', 'sites', ',', 'or', 'take', 'the', 'cliff', 'paths', 'of', 'the', 'northwest', 'or', 'south', 'coasts', '.']","On Menorca, search for more elusive prehistoric sites, or take the cliff paths of the northwest or south coasts."
"['J.', 'thinks', 'there', 'is', 'no', 'difference', 'between', 'pests', 'and', 'airlines', '.']",J. thinks there is no difference between pests and airlines.
"['Who', 'are', 'these', 'people', '?']",Who are these people?
"['Jon', 'told', 'Susan', 'to', 'stay', 'where', 'she', 'was', '.']",Jon told Susan to stay where she was.
['Introduction'],Introduction
"['Viollet', '-', 'le', '-', 'Duc', 'made', 'drawing', 'of', 'statues', 'that', 'were', 'modelled', 'after', 'kings', 'of', 'Judah', '.']",Viollet-le-Duc made drawing of statues that were modelled after kings of Judah.
"['Felipe', 'II', 'decided', 'that', 'Madrid', 'should', 'remain', 'a', 'province', '.']",Felipe II decided that Madrid should remain a province.
"['yeah', 'i', ""'m"", 'i', ""'m"", 'sort', 'of', 'an', 'acting', 'process', 'engineer', 'but', 'not', 'officially', 'but', 'that', ""'s"", 'pretty', 'much', 'what', 'i', 'do', 'yeah']",yeah i'm i'm sort of an acting process engineer but not officially but that's pretty much what i do yeah
"['Someone', 'should', 'have', 'taken', 'charge', 'of', 'it', '.']",Someone should have taken charge of it.
"['If', 'it', 'is', ""n't"", 'the', 'most', 'beautiful', 'chateau', 'you', 'have', 'seen', ',', 'it', 'is', 'certainly', 'the', 'most', 'formidable', '.']","If it isn't the most beautiful chateau you have seen, it is certainly the most formidable."
"['at', 'least', 'i', ""'m"", 'going', 'to', 'give', 'it', 'a', 'try', 'cause', 'you', 'can', 'see', 'i', 'mean', 'the', 'oil', 'filters', 'i', 'mean', 'you', 'can', 'touch', 'it', 'it', ""'s"", 'right', 'there']",at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there
"[""'"", 'Best', 'we', 'could', 'hope', 'for', '.', ""'""]",'Best we could hope for.'
