source_text,target_text
"[' ', 'seven', 'big', 'board', 'stocks', 'ual', 'amr', 'bankamerica', 'walt', 'disney', 'capital', 'cities\\/abc', 'philip', 'morris', 'and', 'pacific', 'telesis', 'group', 'stopped', 'trading', 'and', 'never', 'resumed']", seven big board stocks ual amr bankamerica walt disney capital cities\/abc philip morris and pacific telesis group stopped trading and never resumed 
"['  ', 'james', ' ', 'chairman', 'of', 'specialists', 'henderson', 'brothers', 'inc', '.', 'it', 'is', 'easy', 'to', 'say', 'the', 'specialist', 'is', ""n't"", 'doing', 'his', 'job']",  james  chairman of specialists henderson brothers inc. it is easy to say the specialist is n't doing his job 
"[' ', 'the', 'dow', ""'s"", 'decline', 'was', 'second', 'in', 'point', 'terms', 'only', 'to', 'the', ' ', 'black', 'monday', 'crash', 'that', 'occurred', 'oct', '.', 'N', 'N']", the dow 's decline was second in point terms only to the  black monday crash that occurred oct. N N 
"[' ', 'wall', 'street', ""'s"", 'takeover', '-', 'stock', 'speculators', 'or', 'risk', 'arbitragers', 'had', 'placed', 'unusually', 'large', 'bets', 'that', 'a', 'takeover', 'would', 'succeed', 'and', 'ual', 'stock', 'would', 'rise']", wall street 's takeover-stock speculators or risk arbitragers had placed unusually large bets that a takeover would succeed and ual stock would rise 
"[' ', 'at', 'N', 'p.m.', 'edt', 'came', 'the', ' ', 'news', 'the', 'big', 'board', 'was', ' ', 'trading', 'in', 'ual', 'pending', 'news']", at N p.m. edt came the  news the big board was  trading in ual pending news 
"[' ', 'on', 'the', 'exchange', 'floor', 'as', 'soon', 'as', 'ual', 'stopped', 'trading', 'we', ' ', 'for', 'a', 'panic', 'said', 'one', 'top', 'floor', 'trader']", on the exchange floor as soon as ual stopped trading we  for a panic said one top floor trader 
"[' ', 'and', 'N', 'minutes', 'after', 'the', 'ual', 'trading', 'halt', 'came', 'news', 'that', 'the', 'ual', 'group', 'could', ""n't"", 'get', 'financing', 'for', 'its', 'bid']", and N minutes after the ual trading halt came news that the ual group could n't get financing for its bid 
"[' ', 'arbitragers', 'could', ""n't"", 'dump', 'their', 'ual', 'stock', 'but', 'they', 'rid', 'themselves', 'of', 'nearly', 'every', 'rumor', 'stock', 'they', 'had']", arbitragers could n't dump their ual stock but they rid themselves of nearly every rumor stock they had 
"[' ', 'but', 'as', 'panic', 'spread', 'speculators', 'began', 'to', 'sell', 'blue', '-', 'chip', 'stocks', 'such', 'as', 'philip', 'morris', 'and', 'international', 'business', 'machines', 'to', 'offset', 'their', 'losses']", but as panic spread speculators began to sell blue-chip stocks such as philip morris and international business machines to offset their losses 
"[' ', 'selling', ' ', 'because', 'of', 'waves', 'of', 'automatic', 'stop', '-', 'loss', 'orders', 'which', 'are', 'triggered', 'by', 'computer', 'when', 'prices', 'fall', 'to', 'certain', 'levels']", selling  because of waves of automatic stop-loss orders which are triggered by computer when prices fall to certain levels 
"[' ', 'under', 'an', 'agreement', 'signed', 'by', 'the', 'big', 'board', 'and', 'the', 'chicago', 'mercantile', 'exchange', 'trading', 'was', 'temporarily', 'halted', 'in', 'chicago']", under an agreement signed by the big board and the chicago mercantile exchange trading was temporarily halted in chicago 
"[' ', 'meanwhile', 'during', 'the', 'the', 's&p', 'trading', 'halt', 's&p', 'futures', 'sell', 'orders', 'began', ' ', 'up', 'while', 'stocks', 'in', 'new', 'york', 'kept', 'falling', 'sharply']", meanwhile during the the s&p trading halt s&p futures sell orders began  up while stocks in new york kept falling sharply 
"[' ', 'i', 'just', 'think', 'it', ""'s"", ' ', 'at', 'this', 'point', 'to', 'get', 'into', 'a', 'debate', 'if', 'index', 'arbitrage', 'would', 'have', 'helped', 'or', 'hurt', 'things']", i just think it 's  at this point to get into a debate if index arbitrage would have helped or hurt things 
"[' ', 'but', 'the', ' ', 'of', 's&p', 'futures', 'sell', 'orders', 'weighed', 'on', 'the', 'market', 'and', 'the', 'link', 'with', 'stocks', 'began', 'to', 'fray', 'again']", but the  of s&p futures sell orders weighed on the market and the link with stocks began to fray again 
"[' ', 'at', 'about', 'N', 'the', 's&p', 'market', ' ', 'to', 'still', 'another', 'limit', 'of', 'N', 'points', 'down', 'and', 'trading', 'was', 'locked', 'again']", at about N the s&p market  to still another limit of N points down and trading was locked again 
"[' ', 'at', 'prudential', '-', 'bache', 'securities', 'inc', '.', 'which', 'is', 'trying', 'to', 'cater', 'to', 'small', 'investors', 'some', ' ', 'brokers', 'thought', 'this', 'would', 'be', 'the', 'final', ' ']", at prudential-bache securities inc. which is trying to cater to small investors some  brokers thought this would be the final  
"[' ', 'it', 'would', 'be', 'my', ' ', 'to', 'advise', 'clients', 'not', 'to', 'sell', 'to', 'look', 'for', 'an', 'opportunity', 'to', 'buy', 'mr', '.', 'ball', 'told', 'the', 'brokers']", it would be my  to advise clients not to sell to look for an opportunity to buy mr. ball told the brokers 
"[' ', 'at', 'merrill', 'lynch', '&', 'co.', 'the', 'nation', ""'s"", 'biggest', 'brokerage', 'firm', 'a', 'news', 'release', 'was', 'prepared', ' ', 'merrill', 'lynch', 'comments', 'on', 'market', 'drop']", at merrill lynch & co. the nation 's biggest brokerage firm a news release was prepared  merrill lynch comments on market drop 
"[' ', 'as', 'the', 'dow', 'average', 'ground', 'to', 'its', 'final', 'N', 'loss', 'friday', 'the', 's&p', 'pit', 'stayed', 'locked', 'at', 'its', ' ', 'trading', 'limit']", as the dow average ground to its final N loss friday the s&p pit stayed locked at its  trading limit 
"[' ', 'while', 'friday', ""'s"", 'debacle', 'involved', 'mainly', 'professional', 'traders', 'rather', 'than', 'investors', 'it', 'left', 'the', 'market', 'vulnerable', 'to', 'continued', 'selling', 'this', 'morning', 'traders', 'said']", while friday 's debacle involved mainly professional traders rather than investors it left the market vulnerable to continued selling this morning traders said 
"[' ', 'obviously', 'we', ""'ll"", 'take', 'a', 'close', 'look', 'at', 'any', 'situation', 'in', 'which', 'we', 'think', 'the', ' ', 'obligations', 'were', ""n't"", 'met', 'he', 'said']", obviously we 'll take a close look at any situation in which we think the  obligations were n't met he said 
"[' ', 'mr', '.', 'phelan', 'said', 'it', 'will', 'take', 'another', 'day', 'or', 'two', 'to', 'analyze', 'who', 'was', 'buying', 'and', 'selling', 'friday']", mr. phelan said it will take another day or two to analyze who was buying and selling friday 
"[' ', 'it', ""'s"", 'now', 'the', 'united', 'kingdom', 'of', 'great', 'britain', 'and', 'northern', 'ireland', '  ', 'northern', 'ireland', 'scotland', 'and', 'oh', 'yes', 'england', 'too']", it 's now the united kingdom of great britain and northern ireland   northern ireland scotland and oh yes england too 
"[' ', 'ports', 'of', 'call', 'inc', '.', 'reached', 'agreements', 'to', 'sell', 'its', 'remaining', 'seven', 'aircraft', 'to', 'buyers', 'that', 'were', ""n't"", 'disclosed']", ports of call inc. reached agreements to sell its remaining seven aircraft to buyers that were n't disclosed 
"[' ', 'earlier', 'the', 'company', 'announced', 'it', 'would', 'sell', 'its', 'aging', 'fleet', 'of', 'boeing', 'co.', ' ', 'because', 'of', 'increasing', 'maintenance', 'costs']", earlier the company announced it would sell its aging fleet of boeing co.  because of increasing maintenance costs 
"[' ', 'l.j', '.', 'hooker', 'based', 'in', 'atlanta', 'is', 'operating', 'with', 'protection', 'from', 'its', 'creditors', 'under', 'chapter', 'N', 'of', 'the', 'u.s', '.', 'bankruptcy', 'code']", l.j. hooker based in atlanta is operating with protection from its creditors under chapter N of the u.s. bankruptcy code 
"[' ', 'not', 'included', 'in', 'the', 'bid', 'are', ' ', 'teller', 'or', 'b.', 'altman', '&', 'co.', 'l.j', '.', 'hooker', ""'s"", 'department', '-', 'store', 'chains']", not included in the bid are  teller or b. altman & co. l.j. hooker 's department-store chains 
"[' ', 'the', ' ', 'mall', 'opened', 'sept', '.', 'N', 'with', 'a', ' ', ""'s"", ' ', 'as', 'its', ' ', 'the', 'columbia', 'mall', 'is', 'expected', 'to', 'open', 'nov', '.', 'N']", the  mall opened sept. N with a  's  as its  the columbia mall is expected to open nov. N 
"[' ', 'the', 'consortium', 'was', 'put', 'together', 'by', '  ', 'the', 'london', '-', 'based', 'investment', 'banking', 'company', 'that', 'is', 'a', 'subsidiary', 'of', 'security', 'pacific', 'corp']", the consortium was put together by   the london-based investment banking company that is a subsidiary of security pacific corp 
"[' ', 'l.j', '.', 'hooker', 'was', 'a', 'small', ' ', 'company', 'based', 'in', 'atlanta', 'in', 'N', 'when', 'mr', '.', 'simpson', 'was', 'hired', 'to', 'push', 'it', 'into', 'commercial', 'development']", l.j. hooker was a small  company based in atlanta in N when mr. simpson was hired to push it into commercial development 
"[' ', 'in', 'addition', 'robert', ' ', 'chief', 'executive', 'of', 'the', ' ', 'chain', 'is', 'seeking', 'funds', 'to', 'buy', 'out', 'the', 'hooker', 'interest', 'in', 'his', 'company']", in addition robert  chief executive of the  chain is seeking funds to buy out the hooker interest in his company 
"[' ', 'reached', 'in', ' ', 'mr', '.', ' ', 'said', 'that', 'he', 'believes', 'the', 'various', 'hooker', ' ', 'can', 'become', 'profitable', 'with', 'new', 'management']", reached in  mr.  said that he believes the various hooker  can become profitable with new management 
"[' ', 'bids', 'must', 'be', 'received', 'by', 'N', 'p.m.', 'edt', 'thursday', 'at', 'the', 'treasury', 'or', 'at', 'federal', 'reserve', 'banks', 'or', 'branches']", bids must be received by N p.m. edt thursday at the treasury or at federal reserve banks or branches 
"[' ', 'and', 'many', 'fund', 'managers', 'have', 'built', 'up', 'cash', 'levels', 'and', 'say', 'they', 'will', 'be', 'buying', 'stock', 'this', 'week']", and many fund managers have built up cash levels and say they will be buying stock this week 
"[' ', 'stock', 'fund', 'redemptions', 'during', 'the', 'N', 'debacle', 'did', ""n't"", 'begin', 'to', ' ', 'until', 'after', 'the', 'market', 'opened', 'on', 'black', 'monday']", stock fund redemptions during the N debacle did n't begin to  until after the market opened on black monday 
"[' ', 'i', ""'"", 've', 'let', 'the', 'money', 'build', 'up', 'mr', '.', 'lynch', 'said', 'who', 'added', 'that', 'he', 'has', 'had', 'trouble', 'finding', 'stocks', 'he', 'likes']", i 've let the money build up mr. lynch said who added that he has had trouble finding stocks he likes 
"[' ', 'that', 'was', 'modestly', 'higher', 'than', 'the', 'N', 'N', 'and', 'N', 'N', 'levels', 'in', 'august', 'and', 'september', 'of', 'N']", that was modestly higher than the N N and N N levels in august and september of N 
"[' ', 'a', 'major', 'reason', 'is', 'that', 'investors', 'already', 'have', 'sharply', 'scaled', 'back', 'their', 'purchases', 'of', 'stock', 'funds', 'since', 'black', 'monday']", a major reason is that investors already have sharply scaled back their purchases of stock funds since black monday 
"['  ', 'sales', 'have', 'rebounded', 'in', 'recent', 'months', 'but', 'monthly', 'net', 'purchases', 'are', 'still', 'running', 'at', 'less', 'than', 'half', 'N', 'levels']",  sales have rebounded in recent months but monthly net purchases are still running at less than half N levels 
"[' ', 'there', ""'s"", 'not', 'nearly', 'as', 'much', ' ', 'said', 'john', ' ', 'chairman', 'of', 'vanguard', 'group', 'inc', '.', 'a', 'big', 'valley', 'forge', 'pa', '.', 'fund', 'company']", there 's not nearly as much  said john  chairman of vanguard group inc. a big valley forge pa. fund company 
"[' ', 'vincent', ' ', 'manager', 'of', 'the', '$', 'N', 'billion', 'wellington', 'fund', 'added', 'to', 'his', 'positions', 'in', 'bristol', '-', 'myers', 'squibb', 'woolworth', 'and', 'dun', '&', 'bradstreet', 'friday']", vincent  manager of the $ N billion wellington fund added to his positions in bristol-myers squibb woolworth and dun & bradstreet friday 
"[' ', 'fidelity', ""'s"", 'mr', '.', 'lynch', 'for', 'his', 'part', 'snapped', 'up', 'southern', 'co.', 'shares', 'friday', 'after', 'the', 'stock', 'got', ' ']", fidelity 's mr. lynch for his part snapped up southern co. shares friday after the stock got  
"[' ', 'if', 'the', 'market', 'drops', 'further', 'today', 'he', 'said', 'he', ""'ll"", 'be', 'buying', 'blue', 'chips', 'such', 'as', 'bristol', '-', 'myers', 'and', 'kellogg']", if the market drops further today he said he 'll be buying blue chips such as bristol-myers and kellogg 
"[' ', 'if', 'they', ' ', 'stocks', 'like', 'that', 'he', 'said', 'it', 'presents', 'an', 'opportunity', 'that', 'is', 'the', 'kind', 'of', 'thing', 'you', 'dream', 'about']", if they  stocks like that he said it presents an opportunity that is the kind of thing you dream about 
"[' ', 'they', 'hope', 'to', 'avoid', 'the', ' ', 'phone', 'lines', 'and', 'other', ' ', 'that', ' ', 'some', 'fund', 'investors', 'in', 'october', 'N']", they hope to avoid the  phone lines and other  that  some fund investors in october N 
"[' ', 'but', 'most', 'investors', 'seemed', 'to', 'be', 'in', 'an', 'information', 'mode', 'rather', 'than', 'in', 'a', 'transaction', 'mode', 'said', 'steven', ' ', 'a', 'vice', 'president']", but most investors seemed to be in an information mode rather than in a transaction mode said steven  a vice president 
"[' ', 'and', 'vanguard', 'among', 'other', 'groups', 'said', 'it', 'was', 'adding', 'more', 'phone', 'representatives', 'today', 'to', 'help', 'investors', 'get', 'through']", and vanguard among other groups said it was adding more phone representatives today to help investors get through 
