,Sentences,Corresponding_words,Unnamed: 0.1,Unnamed: 0
13921,"Lakshmi is Vishnu's wife, and the goddess of good fortune.","[('Lakshmi', 1), ('is', 1), ('Vishnu', 1), (""'s"", 1), ('wife', 1), (',', 1), ('and', 1), ('the', 1), ('goddess', 1), ('of', 1), ('good', 1), ('fortune', 1), ('.', 1)]",14645.0,14645.0
10891,Blue says Blumenthal claimed Clinton had told him that Lewinsky had made unwanted sexual advances.,"[('Blue', 1), ('says', 1), ('Blumenthal', 1), ('claimed', 1), ('Clinton', 1), ('had', 2), ('told', 1), ('him', 1), ('that', 1), ('Lewinsky', 1), ('made', 1), ('unwanted', 1), ('sexual', 1), ('advances', 1), ('.', 1)]",5690.0,5690.0
10459,An annual net savings of $900 million has been estimated by the Department.,"[('An', 1), ('annual', 1), ('net', 1), ('savings', 1), ('of', 1), ('$', 1), ('900', 1), ('million', 1), ('has', 1), ('been', 1), ('estimated', 1), ('by', 1), ('the', 1), ('Department', 1), ('.', 1)]",14545.0,14545.0
11750,"Also, considerable sums are spent by the Postal Service analyzing the costs associated with worksharing, and mailers/competitors incur considerable expense litigating their positions on worksharing before the Postal Rate Commission.","[('Also', 1), (',', 2), ('considerable', 2), ('sums', 1), ('are', 1), ('spent', 1), ('by', 1), ('the', 3), ('Postal', 2), ('Service', 1), ('analyzing', 1), ('costs', 1), ('associated', 1), ('with', 1), ('worksharing', 2), ('and', 1), ('mailers', 1), ('/', 1), ('competitors', 1), ('incur', 1), ('expense', 1), ('litigating', 1), ('their', 1), ('positions', 1), ('on', 1), ('before', 1), ('Rate', 1), ('Commission', 1), ('.', 1)]",15814.0,15814.0
10856,I know them so well and am sure they are being truthful.,"[('I', 1), ('know', 1), ('them', 1), ('so', 1), ('well', 1), ('and', 1), ('am', 1), ('sure', 1), ('they', 1), ('are', 1), ('being', 1), ('truthful', 1), ('.', 1)]",4311.0,4311.0
8299,Spock was able to cure American mothers and fathers of their impossible dream of being professional parents.,"[('Spock', 1), ('was', 1), ('able', 1), ('to', 1), ('cure', 1), ('American', 1), ('mothers', 1), ('and', 1), ('fathers', 1), ('of', 2), ('their', 1), ('impossible', 1), ('dream', 1), ('being', 1), ('professional', 1), ('parents', 1), ('.', 1)]",16443.0,16443.0
2423,I am studying computer engineering.,"[('I', 1), ('am', 1), ('studying', 1), ('computer', 1), ('engineering', 1), ('.', 1)]",12233.0,12233.0
7744,Can I help you?',"[('Can', 1), ('I', 1), ('help', 1), ('you', 1), ('?', 1), (""'"", 1)]",17080.0,17080.0
7626,"In 1984, Clinton picked up rock groupie Connie Hamzy when she was sunbathing in a bikini by a hotel pool.","[('In', 1), ('1984', 1), (',', 1), ('Clinton', 1), ('picked', 1), ('up', 1), ('rock', 1), ('groupie', 1), ('Connie', 1), ('Hamzy', 1), ('when', 1), ('she', 1), ('was', 1), ('sunbathing', 1), ('in', 1), ('a', 2), ('bikini', 1), ('by', 1), ('hotel', 1), ('pool', 1), ('.', 1)]",12724.0,12724.0
1608,He is cautious due to a lack of confidence.,"[('He', 1), ('is', 1), ('cautious', 1), ('due', 1), ('to', 1), ('a', 1), ('lack', 1), ('of', 1), ('confidence', 1), ('.', 1)]",17409.0,17409.0
4845,"The village is Sainte-Marie, named by the explorer when he landed on 4 November 1493, attracted by the waterfalls and river he could see flowing down the green inland mountains.","[('The', 1), ('village', 1), ('is', 1), ('Sainte', 1), ('-', 1), ('Marie', 1), (',', 2), ('named', 1), ('by', 2), ('the', 3), ('explorer', 1), ('when', 1), ('he', 2), ('landed', 1), ('on', 1), ('4', 1), ('November', 1), ('1493', 1), ('attracted', 1), ('waterfalls', 1), ('and', 1), ('river', 1), ('could', 1), ('see', 1), ('flowing', 1), ('down', 1), ('green', 1), ('inland', 1), ('mountains', 1), ('.', 1)]",1902.0,1902.0
13832,"In Japan, Mainichi Shimbun criticized the new Liberal Democratic Party leader Keizo Obuchi for being devoid of fresh ideas for reviving the Japanese economy.","[('In', 1), ('Japan', 1), (',', 1), ('Mainichi', 1), ('Shimbun', 1), ('criticized', 1), ('the', 2), ('new', 1), ('Liberal', 1), ('Democratic', 1), ('Party', 1), ('leader', 1), ('Keizo', 1), ('Obuchi', 1), ('for', 2), ('being', 1), ('devoid', 1), ('of', 1), ('fresh', 1), ('ideas', 1), ('reviving', 1), ('Japanese', 1), ('economy', 1), ('.', 1)]",856.0,856.0
