source_text,target_text
"[' ', 'but', 'senate', 'supporters', 'of', 'the', ' ', 'legislation', 'said', 'that', 'other', 'bills', 'would', 'soon', 'be', 'moving', 'through', 'congress', 'that', 'could', 'carry', 'some', 'of', 'the', 'measures', 'that', 'had', 'been', 'cast', 'aside', 'including', 'a', 'capital', '-', 'gains', 'tax', 'cut', '\n']"," but senate supporters of the  legislation said that other bills would soon be moving through congress that could carry some of the measures that had been cast aside including a capital-gains tax cut 
"
"[' ', 'raising', 'an', 'additional', '$', 'N', 'million', 'by', 'increasing', 'existing', 'federal', 'communications', 'commission', 'fees', 'and', 'penalties', 'and', 'establishing', 'new', 'fees', 'for', ' ', 'radio', 'operators', 'ship', 'stations', 'and', 'mobile', 'radio', 'facilities', '\n']"," raising an additional $ N million by increasing existing federal communications commission fees and penalties and establishing new fees for  radio operators ship stations and mobile radio facilities 
"
"[' ', 'before', 'the', 'sun', 'had', 'set', 'on', 'friday', 'richard', ' ', 'the', ' ', 'chief', 'economist', 'of', 'the', 'u.s', '.', 'chamber', 'of', 'commerce', 'issued', 'a', 'statement', ' ', 'the', 'drop', 'in', 'stock', 'prices', 'to', 'the', 'senate', 'decision', 'to', 'postpone', 'action', 'on', 'capital', 'gains', '\n']"," before the sun had set on friday richard  the  chief economist of the u.s. chamber of commerce issued a statement  the drop in stock prices to the senate decision to postpone action on capital gains 
"
"[' ', 'the', 'soviet', 'union', 'has', ""n't"", 'given', 'any', 'clear', 'indication', 'of', 'its', 'wheat', 'purchase', 'plans', 'but', 'many', 'analysts', 'expect', 'moscow', 'to', 'place', 'sizable', 'orders', 'for', 'u.s', '.', 'wheat', 'in', 'the', 'next', 'few', 'months', 'further', 'supporting', 'prices', '\n']"," the soviet union has n't given any clear indication of its wheat purchase plans but many analysts expect moscow to place sizable orders for u.s. wheat in the next few months further supporting prices 
"
"[' ', 'mr', '.', 'paul', 'said', 'the', 'regulators', 'should', 'instead', 'move', 'ahead', 'with', ' ', 'centrust', ""'s"", 'request', 'to', 'sell', 'N', 'of', 'its', 'N', 'branches', 'to', 'great', 'western', 'bank', 'a', 'unit', 'of', 'great', 'western', 'financial', 'corp', '.', 'based', 'in', 'beverly', 'hills', 'calif', '\n']"," mr. paul said the regulators should instead move ahead with  centrust 's request to sell N of its N branches to great western bank a unit of great western financial corp. based in beverly hills calif 
"
"[' ', 'nearly', 'all', 'of', 'the', 'crude', 'oil', 'that', 'canada', 'exports', 'to', 'the', 'u.s', '.', 'is', ' ', 'on', ' ', ""'s"", 'system', 'whose', 'main', 'line', 'runs', 'from', ' ', 'to', 'major', 'u.s', '.', 'and', 'canadian', 'cities', 'in', 'the', 'great', ' ', 'region', 'including', 'chicago', ' ', 'toronto', 'and', 'montreal', '\n']"," nearly all of the crude oil that canada exports to the u.s. is  on  's system whose main line runs from  to major u.s. and canadian cities in the great  region including chicago  toronto and montreal 
"
"[' ', 'the', 'subject', 'is', 'a', ' ', 'one', 'for', 'nasdaq', 'and', 'its', ' ', 'companies', 'which', 'were', 'widely', 'criticized', 'two', 'years', 'ago', 'following', 'complaints', 'from', 'investors', 'who', 'could', ""n't"", 'reach', 'their', 'brokers', 'or', 'trade', 'in', 'the', 'chaos', 'of', 'the', 'crash', '\n']"," the subject is a  one for nasdaq and its  companies which were widely criticized two years ago following complaints from investors who could n't reach their brokers or trade in the chaos of the crash 
"
"[' ', 'but', 'at', 'N', 'million', 'weekly', 'paid', 'circulation', 'u.s', '.', 'news', 'still', 'ranks', 'third', 'behind', 'time', 'warner', 'inc', '.', ""'s"", 'time', 'magazine', 'with', 'N', 'million', 'circulation', 'and', 'washington', 'post', 'co.', ""'s"", 'newsweek', 'with', 'N', 'million', 'circulation', '\n']"," but at N million weekly paid circulation u.s. news still ranks third behind time warner inc. 's time magazine with N million circulation and washington post co. 's newsweek with N million circulation 
"
"[' ', 'you', 'say', 'you', 'could', 'have', 'sold', 'x', 'percent', 'of', 'this', 'product', 'and', ' ', 'percent', 'of', 'that', 'recalls', '  ', 'an', 'analyst', 'at', 'shearson', 'lehman', 'hutton', 'who', 'went', 'through', 'this', 'exercise', 'during', 'his', 'former', 'career', 'as', 'a', 'chemical', 'engineer', '\n']"," you say you could have sold x percent of this product and  percent of that recalls   an analyst at shearson lehman hutton who went through this exercise during his former career as a chemical engineer 
"
"[' ', 'the', 'executive', 'close', 'to', 'saatchi', '&', 'saatchi', 'said', 'that', 'if', 'a', 'bidder', 'came', 'up', 'with', 'a', ' ', 'high', 'offer', 'a', 'crazy', 'offer', 'which', 'saatchi', 'knew', 'it', 'could', ""n't"", 'beat', 'it', 'would', 'have', 'no', 'choice', 'but', 'to', 'recommend', 'it', 'to', 'shareholders', '\n']"," the executive close to saatchi & saatchi said that if a bidder came up with a  high offer a crazy offer which saatchi knew it could n't beat it would have no choice but to recommend it to shareholders 
"
"[' ', 'so', 'ok', 'kids', 'everybody', 'on', 'stage', 'for', 'carry', 'on', 'trading', 'the', 'cast', 'is', ' ', 'searching', 'the', 'office', 'for', ' ', 'japanese', 'bonds', 'that', 'suddenly', 'have', 'soared', 'in', 'value', 'because', 'dai', '-', 'ichi', 'kangyo', 'bank', 'has', 'just', 'bought', 'the', 'white', 'house', '\n']"," so ok kids everybody on stage for carry on trading the cast is  searching the office for  japanese bonds that suddenly have soared in value because dai-ichi kangyo bank has just bought the white house 
"
"[' ', 'the', 'sales', 'drop', 'for', 'the', 'no', '.', 'N', 'car', 'maker', 'may', 'have', 'been', 'caused', 'in', 'part', 'by', 'the', 'end', 'in', 'september', 'of', 'dealer', 'incentives', 'that', 'gm', 'offered', 'in', 'addition', 'to', 'consumer', 'rebates', 'and', ' ', 'financing', 'a', 'company', 'spokesman', 'said', '\n']"," the sales drop for the no. N car maker may have been caused in part by the end in september of dealer incentives that gm offered in addition to consumer rebates and  financing a company spokesman said 
"
"[' ', 'it', 'all', 'seemed', 'innocent', 'enough', 'last', 'april', 'one', 'steven', 'b.', ' ', 'visited', 'justin', 'products', 'inc', '.', 'here', 'identified', 'himself', 'as', 'a', 'potential', 'customer', 'and', 'got', 'the', 'word', 'on', 'the', 'little', 'company', ""'s"", 'new', ' ', 'players', 'for', 'children', '\n']"," it all seemed innocent enough last april one steven b.  visited justin products inc. here identified himself as a potential customer and got the word on the little company 's new  players for children 
"
"[' ', 'friday', ""'s"", '190', '-', 'point', 'plunge', 'in', 'stocks', 'does', 'not', 'come', ' ', 'the', 'climate', 'of', 'anxiety', 'that', 'dominated', 'financial', 'markets', 'just', 'prior', 'to', 'their', 'N', 'october', 'crash', 'and', ' ', 'have', 'been', 'put', 'in', 'place', 'to', 'keep', 'markets', 'more', 'orderly', '\n']"," friday 's 190-point plunge in stocks does not come  the climate of anxiety that dominated financial markets just prior to their N october crash and  have been put in place to keep markets more orderly 
"
