,Sentences,Corresponding_words,Unnamed: 0
15419,The world exploded behind me.,"['The', 'world', 'exploded', 'behind', 'me', '.']",15419.0
12031,Unnatural and unresponsive approaches,"['Unnatural', 'and', 'unresponsive', 'approaches']",12031.0
6867,Jon traveled back to his hometown.,"['Jon', 'traveled', 'back', 'to', 'his', 'hometown', '.']",6867.0
3959,Duke says we can use the environment to our benefit.,"['Duke', 'says', 'we', 'can', 'use', 'the', 'environment', 'to', 'our', 'benefit', '.']",3959.0
18593,Entirely possible.,"['Entirely', 'possible', '.']",18593.0
15700,Just look at the entertainment industry's self-image instead.,"['Just', 'look', 'at', 'the', 'entertainment', 'industry', ""'s"", 'self', '-', 'image', 'instead', '.']",15700.0
15406,"On Menorca, search for more elusive prehistoric sites, or take the cliff paths of the northwest or south coasts.","['On', 'Menorca', ',', 'search', 'for', 'more', 'elusive', 'prehistoric', 'sites', ',', 'or', 'take', 'the', 'cliff', 'paths', 'of', 'the', 'northwest', 'or', 'south', 'coasts', '.']",15406.0
19145,J. thinks there is no difference between pests and airlines.,"['J.', 'thinks', 'there', 'is', 'no', 'difference', 'between', 'pests', 'and', 'airlines', '.']",19145.0
1777,Who are these people?,"['Who', 'are', 'these', 'people', '?']",1777.0
2587,Jon told Susan to stay where she was.,"['Jon', 'told', 'Susan', 'to', 'stay', 'where', 'she', 'was', '.']",2587.0
9038,Introduction,['Introduction'],9038.0
8947,Viollet-le-Duc made drawing of statues that were modelled after kings of Judah.,"['Viollet', '-', 'le', '-', 'Duc', 'made', 'drawing', 'of', 'statues', 'that', 'were', 'modelled', 'after', 'kings', 'of', 'Judah', '.']",8947.0
10363,Felipe II decided that Madrid should remain a province.,"['Felipe', 'II', 'decided', 'that', 'Madrid', 'should', 'remain', 'a', 'province', '.']",10363.0
3530,yeah i'm i'm sort of an acting process engineer but not officially but that's pretty much what i do yeah,"['yeah', 'i', ""'m"", 'i', ""'m"", 'sort', 'of', 'an', 'acting', 'process', 'engineer', 'but', 'not', 'officially', 'but', 'that', ""'s"", 'pretty', 'much', 'what', 'i', 'do', 'yeah']",3530.0
12083,Someone should have taken charge of it.,"['Someone', 'should', 'have', 'taken', 'charge', 'of', 'it', '.']",12083.0
14149,"If it isn't the most beautiful chateau you have seen, it is certainly the most formidable.","['If', 'it', 'is', ""n't"", 'the', 'most', 'beautiful', 'chateau', 'you', 'have', 'seen', ',', 'it', 'is', 'certainly', 'the', 'most', 'formidable', '.']",14149.0
316,at least i'm going to give it a try cause you can see i mean the oil filters i mean you can touch it it's right there,"['at', 'least', 'i', ""'m"", 'going', 'to', 'give', 'it', 'a', 'try', 'cause', 'you', 'can', 'see', 'i', 'mean', 'the', 'oil', 'filters', 'i', 'mean', 'you', 'can', 'touch', 'it', 'it', ""'s"", 'right', 'there']",316.0
6756,'Best we could hope for.',"[""'"", 'Best', 'we', 'could', 'hope', 'for', '.', ""'""]",6756.0
6226,that's cool kind of like Pink Floyd or something uh yeah basketball's cool but football kind of after a while,"['that', ""'s"", 'cool', 'kind', 'of', 'like', 'Pink', 'Floyd', 'or', 'something', 'uh', 'yeah', 'basketball', ""'s"", 'cool', 'but', 'football', 'kind', 'of', 'after', 'a', 'while']",6226.0
13903,I'm happy that I don't work in a store.,"['I', ""'m"", 'happy', 'that', 'I', 'do', ""n't"", 'work', 'in', 'a', 'store', '.']",13903.0
10920,"He unleashed a 16-day reign of terror that left 300 Madeirans dead, stocks of sugar destroyed, and the island plundered.","['He', 'unleashed', 'a', '16', '-', 'day', 'reign', 'of', 'terror', 'that', 'left', '300', 'Madeirans', 'dead', ',', 'stocks', 'of', 'sugar', 'destroyed', ',', 'and', 'the', 'island', 'plundered', '.']",10920.0
7543,"Mr. Clinton appreciated Mr. Knight for his fund raising, said the news.","['Mr.', 'Clinton', 'appreciated', 'Mr.', 'Knight', 'for', 'his', 'fund', 'raising', ',', 'said', 'the', 'news', '.']",7543.0
14563,There wasn't much of an alternative despite the cries of the preservationalists.,"['There', 'was', ""n't"", 'much', 'of', 'an', 'alternative', 'despite', 'the', 'cries', 'of', 'the', 'preservationalists', '.']",14563.0
8954,"Guangzhou, with a population of more than 5 million, straddles the Pearl River China's fifth longest which links the city to the South China Sea.","['Guangzhou', ',', 'with', 'a', 'population', 'of', 'more', 'than', '5', 'million', ',', 'straddles', 'the', 'Pearl', 'River', 'China', ""'s"", 'fifth', 'longest', 'which', 'links', 'the', 'city', 'to', 'the', 'South', 'China', 'Sea', '.']",8954.0
