source_text,target_text
"[' ', 'otherwise', 'actual', 'profit', 'is', 'compared', 'with', 'the', '300-day', 'estimate']", otherwise actual profit is compared with the 300-day estimate 
"[' ', 'u.s', '.', 'investors', 'will', 'be', 'permitted', 'to', 'buy', 'the', 'shares', 'from', 'ec', 'investors', 'N', 'days', 'later']", u.s. investors will be permitted to buy the shares from ec investors N days later 
"[' ', 'the', 'idea', 'was', 'to', 'buffet', 'building', 'products', 'from', 'cycles', 'in', 'new', '-', 'home', 'construction']", the idea was to buffet building products from cycles in new-home construction 
"[' ', 'ronald', 'j.', 'taylor', 'N', 'was', 'named', 'chairman', 'of', 'this', 'insurance', 'firm', ""'s"", 'reinsurance', 'brokerage', 'group', 'and', 'its', 'major', 'unit', '  ', '&', 'son', 'inc']", ronald j. taylor N was named chairman of this insurance firm 's reinsurance brokerage group and its major unit   & son inc 
"[' ', 'the', 'high', 'court', 'refused', 'to', 'hear', 'appeals', 'by', ' ', 'drug', 'co.', 'which', 'went', 'out', 'of', 'business', 'in', 'N', 'and', 'was', 'taken', 'over', 'by', '  ', 'trust', ' ', 'squibb', '&', 'sons', 'inc', '.', 'a', 'unit', 'of', 'squibb', 'corp', '.', 'and', 'eli', 'lilly', '&', 'co']", the high court refused to hear appeals by  drug co. which went out of business in N and was taken over by   trust  squibb & sons inc. a unit of squibb corp. and eli lilly & co 
"[' ', 'estimated', 'volume', 'was', 'N', 'million', 'ounces']", estimated volume was N million ounces 
"[' ', 'a', 'sharp', 'reduction', 'in', 'inflation', 'was', 'by', 'far', 'the', ' ', 'spot', 'in', 'the', 'report', 'on', 'the', 'real', 'gross', 'national', 'product', 'the', 'inflation', '-', 'adjusted', 'market', 'value', 'of', 'all', 'the', 'goods', 'and', 'services', 'the', 'economy', 'produced']", a sharp reduction in inflation was by far the  spot in the report on the real gross national product the inflation-adjusted market value of all the goods and services the economy produced 
"[' ', 'merrill', 'lynch', 'lowered', 'its', 'short', '-', 'term', 'rating', 'on', 'the', 'stock', 'and', 'its', 'estimate', 'of', 'N', 'earnings', 'citing', 'a', 'sales', 'slowdown', 'in', 'the', 'company', ""'s"", ' ', 'business']", merrill lynch lowered its short-term rating on the stock and its estimate of N earnings citing a sales slowdown in the company 's  business 
"[' ', 'the', ' ', 'claims', 'that', 'monitoring', 'not', 'only', ' ', 'on', 'employee', 'privacy', 'but', 'increases', 'stress']", the  claims that monitoring not only  on employee privacy but increases stress 
"[' ', 'for', 'the', 'first', 'time', 'the', 'u.s', '.', 'considered', 'cutting', 'mr', '.', 'noriega', 'from', 'its', 'intelligence', 'payroll', 'and', 'the', 'deliberations', 'were', 'intense', 'mr', '.', 'turner', 'says']", for the first time the u.s. considered cutting mr. noriega from its intelligence payroll and the deliberations were intense mr. turner says 
"['  ', 'has', 'made', 'a', 'specialty', 'of', ' ', 'to', 'high', ' ', 'from', 'abroad', 'who', 'are', 'also', 'being', 'aggressively', ' ', 'by', 'the', 'mirage', 'the', 'las', 'vegas', 'hilton', 'and', 'others']",  has made a specialty of  to high  from abroad who are also being aggressively  by the mirage the las vegas hilton and others 
"[' ', 'although', 'much', 'of', 'this', 'country', ""'s"", 'export', 'corn', 'goes', 'to', 'new', 'orleans', 'by', ' ', 'it', 'is', 'possible', 'for', 'exporters', 'to', ' ', 'the', 'mississippi', 'river', 'by', 'shipping', 'a', ' ', 'amount', 'of', 'corn', 'by', 'train', 'to', 'the', 'port']", although much of this country 's export corn goes to new orleans by  it is possible for exporters to  the mississippi river by shipping a  amount of corn by train to the port 
"[' ', 'packages', 'encourage', 'loyalty', 'by', 'rewarding', 'customers', 'for', 'doing', 'the', 'bulk', 'of', 'their', 'banking', 'in', 'one', 'place']", packages encourage loyalty by rewarding customers for doing the bulk of their banking in one place 
"['  ', 'group', 'inc', '.', 'of', ' ', 'n.j', '.', 'has', 'built', 'cross', 'creek', '   ', 'and', 'other', ' ', 'in', 'new', 'jersey']",  group inc. of  n.j. has built cross creek    and other  in new jersey 
"[' ', 'officials', 'of', 'the', 'resolution', 'trust', 'corp', '.', 'have', 'said', 'privately', 'that', 'such', 'a', 'plan', 'was', 'the', 'most', 'likely', 'alternative', 'to', 'raise', 'short', '-', 'term', 'cash', 'for', 'the', 'bailout']", officials of the resolution trust corp. have said privately that such a plan was the most likely alternative to raise short-term cash for the bailout 
"[' ', 'third', 'oil', 'prices', 'have', ""n't"", 'declined', 'although', 'supply', 'has', 'been', 'increasing']", third oil prices have n't declined although supply has been increasing 
"[' ', 'the', 'dow', 'jones', 'industrials', 'finished', 'up', 'N', 'at', 'N']", the dow jones industrials finished up N at N 
"[' ', 'the', ' ', 'of', 'more', 'than', 'N', 'men', 'women', 'and', 'children', 'by', 'the', ' ', 'regime', 'adds', 'up', 'to', 'one', 'of', 'the', 'largest', ' ', 'seen', 'in', 'the', 'postwar', 'years']", the  of more than N men women and children by the  regime adds up to one of the largest  seen in the postwar years 
"[' ', 'tell', 'us', 'what', 'measure', 'short', 'of', 'house', 'arrest', 'will', 'get', 'this', 'congress', 'under', 'control']", tell us what measure short of house arrest will get this congress under control 
"[' ', 'harris', 'trust', ""'s"", 'mr', '.', ' ', 'noted', 'that', 'the', 'unit', 'continues', 'to', 'show', 'resilience', 'in', 'the', 'face', 'of', 'a', ' ', 'of', 'headline', ' ', 'in', 'recent', 'weeks', 'including', 'rate', 'increases', 'in', 'europe', 'and', 'japan', 'aggressive', 'central', 'bank', 'intervention', 'a', '190-point', 'plunge', 'in', 'new', 'york', 'stock', 'prices', 'an', 'unexpectedly', 'poor', 'u.s', '.', 'trade', 'report', 'and', 'action', 'by', 'the', 'federal', 'reserve', 'to', ' ', 'u.s', '.', 'rates', 'lower']", harris trust 's mr.  noted that the unit continues to show resilience in the face of a  of headline  in recent weeks including rate increases in europe and japan aggressive central bank intervention a 190-point plunge in new york stock prices an unexpectedly poor u.s. trade report and action by the federal reserve to  u.s. rates lower 
"[' ', 'but', 'the', 'soviets', 'also', 'are', 'insisting', 'that', 'they', 'will', 'reserve', 'the', 'right', 'to', 'withdraw', 'from', 'the', 'completed', ' ', 'treaty', 'later', 'on', 'if', 'the', 'u.s', '.', 'does', 'sdi', 'testing', 'or', ' ', 'that', 'the', 'soviets', 'think', 'violates', 'the', 'existing', ' ', 'treaty']", but the soviets also are insisting that they will reserve the right to withdraw from the completed  treaty later on if the u.s. does sdi testing or  that the soviets think violates the existing  treaty 
"[' ', 'december', 'delivery', 'gold', 'is', 'trading', 'in', 'a', 'range', 'of', '$', 'N', 'to', '$', 'N', 'an', 'ounce', 'and', 'is', 'having', 'difficulty', 'breaking', 'out', 'above', 'that', 'mr', '.', 'savaiko', 'said']", december delivery gold is trading in a range of $ N to $ N an ounce and is having difficulty breaking out above that mr. savaiko said 
"[' ', 'beginning', 'in', 'the', 'early', '19th', 'century', 'with', 'u.s', '.', 'v.', 'hudson', 'and', ' ', 'the', 'supreme', 'court', 'has', 'repeatedly', 'held', 'that', 'a', 'judicial', 'power', 'to', 'declare', 'conduct', 'to', 'be', 'against', 'the', 'public', 'interest', 'and', 'hence', 'criminal', 'while', 'well', 'established', 'in', 'british', 'law', 'would', ' ', 'legislative', 'authority', 'under', 'the', 'doctrine', 'of', 'separation', 'of', 'powers']", beginning in the early 19th century with u.s. v. hudson and  the supreme court has repeatedly held that a judicial power to declare conduct to be against the public interest and hence criminal while well established in british law would  legislative authority under the doctrine of separation of powers 
"[' ', 'i', 'can', 'assure', 'you', ' ', 'a', ' ', 'lawyer', 'in', 'new', ' ', 'with', 'a', ' ', 'raised', ' ', 'from', 'personal', 'experience', 'it', 'works']", i can assure you  a  lawyer in new  with a  raised  from personal experience it works 
"[' ', 'these', 'include', 'the', 'extension', 'of', 'liability', 'into', 'areas', 'beyond', 'those', 'established', 'by', 'judicial', 'precedent', 'and', 'the', 'expansion', 'of', 'liability', 'to', 'include', 'punitive', 'damages']", these include the extension of liability into areas beyond those established by judicial precedent and the expansion of liability to include punitive damages 
"[' ', 'over', 'the', 'years', 'the', 'world', ""'s"", 'stream', 'of', 'oil', 'has', 'been', 'growing', 'heavier']", over the years the world 's stream of oil has been growing heavier 
"[' ', 'mr', '.', '  ', 'that', 'he', 'sold', 'all', 'his', 'stocks', 'a', 'week', 'before', 'the', 'market', 'plummeted', 'N', 'points', 'on', 'oct', '.', 'N', 'and', 'he', 'is', 'using', 'the', 'money', 'to', 'help', 'buy', 'a', ' ', 'horse', 'farm']", mr.   that he sold all his stocks a week before the market plummeted N points on oct. N and he is using the money to help buy a  horse farm 
"[' ', 'mexico', 'with', 'its', 'desperate', 'need', 'for', 'investment', 'and', 'japan', 'with', 'its', 'huge', 'budget', 'surplus', 'would', 'seem', 'like', 'a', 'perfect', 'match']", mexico with its desperate need for investment and japan with its huge budget surplus would seem like a perfect match 
"[' ', 'net', 'interest', 'income', 'in', 'the', 'third', 'quarter', 'edged', 'up', 'N', 'N', 'to', '$', 'N', 'million']", net interest income in the third quarter edged up N N to $ N million 
"[' ', 'revenue', 'more', 'than', 'doubled', 'to', '$', 'N', 'billion', 'from', '$', 'N', 'billion']", revenue more than doubled to $ N billion from $ N billion 
"[' ', 'the', 'benchmark', 'was', 'priced', 'at', 'N', 'N', 'to', 'yield', 'N', 'N', 'compared', 'with', 'N', 'N', 'to', 'yield', 'N', 'N', 'tuesday']", the benchmark was priced at N N to yield N N compared with N N to yield N N tuesday 
"[' ', 'in', 'the', 'marina', 'district', 'residents', 'spent', 'yesterday', 'assessing', 'damage', 'cleaning', 'up', 'and', 'trying', 'to', 'find', 'friends', 'and', 'neighbors']", in the marina district residents spent yesterday assessing damage cleaning up and trying to find friends and neighbors 
"[' ', 'they', 'have', 'begun', 'sending', 'letters', 'explaining', 'the', 'program', 'which', 'began', 'oct', '.', 'N', 'and', 'will', 'end', 'dec', '.', 'N', 'to', 'about', 'five', 'million', 'card', 'holders']", they have begun sending letters explaining the program which began oct. N and will end dec. N to about five million card holders 
"[' ', 'john', 'r.', ' ', 'contributed', 'to', 'this', 'article']", john r.  contributed to this article 
"[' ', 'australia', ""'s"", 'inflation', 'is', 'expected', 'to', 'rise', 'as', 'high', 'as', 'N', 'N', 'in', 'the', 'quarter', 'ending', 'march', 'N', 'but', 'could', 'fall', 'to', 'around', 'N', 'N', 'by', 'june', 'according', 'to', 'economists']", australia 's inflation is expected to rise as high as N N in the quarter ending march N but could fall to around N N by june according to economists 
"[' ', 'the', 'university', 'said', 'the', 'two', 'companies', 'agreed', 'to', 'spend', 'N', 'million', 'canadian', 'dollars', '$', 'N', 'million', 'over', 'N', 'years', 'on', 'research', 'at', 'canadian', 'universities', 'if', 'they', 'are', 'successful', 'in', 'acquiring', 'the', 'vaccine', 'maker']", the university said the two companies agreed to spend N million canadian dollars $ N million over N years on research at canadian universities if they are successful in acquiring the vaccine maker 
"[' ', 'the', 's&l', 'bailout', 'could', 'cost', '$', 'N', 'billion', 'computing', 'interest', 'on', 'the', 'government', ""'s"", 'loans']", the s&l bailout could cost $ N billion computing interest on the government 's loans 
"[' ', 'the', 'amex', 'market', 'value', 'index', 'snapped', 'a', ' ', 'losing', 'streak', 'by', 'rising', 'N', 'to', 'N']", the amex market value index snapped a  losing streak by rising N to N 
"[' ', 'the', ' ', 'funds', 'are', 'still', 'above', 'N', 'N']", the  funds are still above N N 
"[' ', 'avery', 'which', 'continues', 'to', 'operate', 'a', 'coal', 'company', 'it', 'expects', 'to', 'sell', 'at', 'a', 'loss', 'said', 'in', 'proxy', 'materials', 'it', 'intends', 'to', 'seek', 'control', 'of', 'one', 'or', 'more', 'companies']", avery which continues to operate a coal company it expects to sell at a loss said in proxy materials it intends to seek control of one or more companies 
"[' ', 'some', 'think', 'columbia', ""'s"", 'thrift', 'which', 'now', 'is', 'seeking', 'a', 'new', 'chief', 'operating', 'officer', 'might', 'be', 'capitalized', 'at', 'say', '$', 'N', 'million', 'and', ' ', 'to', 'a', 'commercial', 'bank', 'that', 'wants', 'a', 'california', 'presence']", some think columbia 's thrift which now is seeking a new chief operating officer might be capitalized at say $ N million and  to a commercial bank that wants a california presence 
"[' ', 'exports', 'reached', '$', 'N', 'billion', 'up', 'from', '$', 'N', 'billion', 'a', 'year', 'earlier', 'while', 'imports', 'rose', 'to', '$', 'N', 'billion', 'from', '$', 'N', 'billion']", exports reached $ N billion up from $ N billion a year earlier while imports rose to $ N billion from $ N billion 
"[' ', 'those', 'hopes', 'were', 'dashed', 'when', 'the', 'stock', 'market', 'put', 'in', 'a', 'relatively', 'quiet', 'performance']", those hopes were dashed when the stock market put in a relatively quiet performance 
"[' ', 'one', 'color', 'photo', 'displays', 'a', 'rainbow', 'of', 'dress', 'shirts', 'tied', 'in', 'a', ' ', 'another', 'picture', 'shows', ' ', 'with', 'bold', 'designs']", one color photo displays a rainbow of dress shirts tied in a  another picture shows  with bold designs 
